序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,军工电子,62,17773.2,21.86%,274.32,306.24,-31.92
2,文化传媒,84,3341.55,18.52%,212.87,199.36,13.51
3,医疗服务,54,19761.1,17.30%,86.02,67.03,18.99
4,IT服务,128,16121.9,16.85%,219.22,186.47,32.75
5,游戏,24,12284.7,16.00%,103.24,71.02,32.22
6,军工装备,81,3009.37,15.93%,422.91,443.84,-20.94
7,软件开发,138,2646.25,15.80%,284.38,227.33,57.04
8,通信服务,45,3225.1,14.64%,91.31,78.54,12.77
9,小金属,27,8393.04,14.63%,125.83,109.46,16.37
10,影视院线,20,1805.65,13.20%,26.64,30.23,-3.59
11,互联网电商,19,9132.74,12.36%,14.49,11.25,3.23
12,半导体,171,13412.3,12.22%,888.43,723.04,165.39
13,电子化学品,42,58634.7,11.78%,73.28,62.91,10.38
14,金属新材料,31,16527.2,11.70%,45.04,41.76,3.28
15,医疗器械,134,12896.2,10.94%,118.98,83.78,35.2
16,通信设备,89,9059.82,10.82%,463.19,469.15,-5.96
17,教育,17,5468.49,10.28%,18.26,17.03,1.22
18,光伏设备,76,8731.35,10.15%,161.41,168.62,-7.22
19,风电设备,31,5566.67,9.94%,82.02,104.42,-22.4
20,贵金属,11,4696.63,9.83%,57.29,42.56,14.73
21,计算机设备,81,4796.38,9.57%,123.7,114.72,8.98
22,其他电源设备,32,6914.46,9.52%,60.79,53.51,7.28
23,其他社会服务,76,22052.6,9.34%,25.25,22.61,2.65
24,其他电子,34,19018.5,8.65%,90.01,75.07,14.94
25,保险,5,2629.77,8.54%,83.04,52.07,30.98
26,自动化设备,91,28230.4,8.39%,160.07,134.64,25.43
27,医药商业,32,5714.77,7.98%,32.49,28.65,3.84
28,电网设备,139,6664.59,7.94%,136.99,144.19,-7.2
29,生物制品,55,6810.09,7.78%,39.28,27.38,11.9
30,能源金属,13,31977.0,7.73%,74.18,62.31,11.87
31,综合,17,2619.27,7.56%,30.27,26.57,3.7
32,专用设备,196,8343.04,7.48%,160.09,178.59,-18.5
33,化学制药,157,6963.68,7.40%,160.58,115.04,45.53
34,光学光电子,108,5302.4,7.30%,125.41,128.88,-3.47
35,化学原料,60,3398.55,7.15%,34.43,35.78,-1.34
36,油气开采及服务,20,1509.24,7.13%,32.88,38.57,-5.7
37,工业金属,58,4648.54,7.12%,265.99,257.18,8.81
38,黑色家电,9,4549.82,6.93%,14.12,10.26,3.86
39,建筑材料,71,6080.56,6.92%,76.1,69.29,6.81
40,多元金融,26,1374.9,6.89%,52.44,60.79,-8.35
41,通用设备,249,9815.58,6.85%,330.23,331.29,-1.06
42,建筑装饰,151,4631.92,6.82%,92.7,95.15,-2.46
43,塑料制品,78,10934.2,6.69%,84.37,92.24,-7.87
44,零售,72,2371.04,6.41%,93.0,116.87,-23.87
45,消费电子,98,12473.4,6.28%,365.73,340.65,25.07
46,煤炭开采加工,33,2627.75,6.10%,21.57,23.37,-1.79
47,工程机械,36,3711.77,6.07%,35.88,34.31,1.57
48,非金属材料,13,28653.4,5.91%,8.41,7.02,1.39
49,环保设备,29,1342.41,5.87%,10.25,11.5,-1.25
