股票代码,股票名称,行业,slope,r_squared,signal
600489,中金黄金,贵金属,0.0066625137604097604,0.7062788022199646,buy
002530,金财互联,通用设备,0.0069160055235875095,0.9129371670171184,buy
002555,三七互娱,游戏,0.00946473088528938,0.8808666910843325,buy
002624,完美世界,游戏,0.008595275344809286,0.9308739107166296,buy
002543,万和电气,厨卫电器,0.002996367167714239,0.984928670144394,buy
603075,热威股份,白色家电,0.0015776037650676845,0.6771020138268555,buy
603611,诺力股份,工程机械,0.007119449851771028,0.950792286749813,buy
002155,湖南黄金,贵金属,0.004376378413049605,0.5165470407334081,buy
603187,海容冷链,通用设备,0.008267865023224494,0.8639609383257546,buy
002438,江苏神通,通用设备,0.0044102311263004255,0.8901516024766585,buy
002236,大华股份,计算机设备,0.0043886707439359535,0.910863388124796,buy
002284,亚太股份,汽车零部件,0.018985059673008706,0.8596059028423247,buy
002803,吉宏股份,互联网电商,0.007218453315267813,0.7162073634822237,buy
600601,方正科技,元件,0.003169948237736513,0.5676973156738349,buy
002270,华明装备,电网设备,0.002008355857115458,0.5238219191109267,buy
002590,万安科技,汽车零部件,0.009017010933691002,0.9351636819769708,buy
002611,东方精工,专用设备,0.00791372680770964,0.966155265995329,buy
002517,恺英网络,游戏,0.0028746308304205383,0.45886509323940927,buy
000425,徐工机械,工程机械,0.0011623356271860152,0.2847266343737237,buy
601061,中信金属,贸易,0.005907674267620096,0.9595506181692989,buy
600741,华域汽车,汽车零部件,0.0016709291403429203,0.6636273523720975,buy
603103,横店影视,影视院线,0.0012905935406554631,0.29864923238037255,buy
000997,新大陆,计算机设备,0.00415326209127205,0.7419571512252321,buy
603005,晶方科技,半导体,0.004227344563727735,0.8576153974904164,buy
002777,久远银海,IT服务,0.00283960753337852,0.7660803934579031,buy
002010,传化智联,物流,0.004184651603712156,0.8360497032189853,buy
002467,二六三网络通信,通信服务,0.0025132438776381367,0.8483639310229253,buy
002011,盾安环境,白色家电,0.0049745544212007765,0.8576342387145371,buy
002185,华天科技,半导体,0.0046651043380199625,0.931848442555676,buy
002600,领益智造,消费电子,0.003792648607106527,0.7446372780226176,buy
