序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,军工电子,62,17773.2,16.80%,368.86,384.99,-16.14
2,文化传媒,84,3341.55,14.67%,152.22,174.02,-21.81
3,影视院线,20,1805.65,11.91%,26.56,28.58,-2.02
4,IT服务,128,16121.9,11.48%,179.68,224.84,-45.15
5,军工装备,81,3009.37,11.39%,349.77,415.22,-65.45
6,软件开发,138,2646.25,11.07%,221.49,279.18,-57.69
7,通信服务,45,3225.1,10.84%,91.3,97.88,-6.59
8,游戏,24,12284.7,10.29%,65.46,74.69,-9.23
9,医疗服务,54,19761.1,9.93%,97.6,98.12,-0.52
10,互联网电商,19,9132.74,9.81%,7.89,10.26,-2.37
11,通信设备,89,9059.82,8.42%,496.78,481.44,15.34
12,小金属,27,8393.04,7.66%,226.07,206.93,19.14
13,教育,17,5468.49,7.31%,11.65,16.42,-4.76
14,金属新材料,31,16527.2,7.17%,73.97,65.49,8.48
15,电子化学品,42,58634.7,6.79%,197.81,160.05,37.76
16,其他电源设备,32,6914.46,6.47%,108.01,86.14,21.87
17,光伏设备,76,8731.35,5.97%,193.22,200.06,-6.85
18,计算机设备,81,4796.38,5.85%,110.31,141.96,-31.65
19,风电设备,31,5566.67,5.67%,104.27,109.27,-5.0
20,半导体,171,13412.3,5.64%,1052.35,1025.19,27.15
21,其他社会服务,76,22052.6,5.30%,27.88,29.68,-1.8
22,自动化设备,91,28230.4,5.28%,143.49,136.74,6.74
23,电网设备,139,6664.59,5.07%,191.33,187.62,3.7
24,专用设备,196,8343.04,5.06%,211.58,210.95,0.63
25,通用设备,249,9815.58,5.03%,319.18,334.79,-15.6
26,多元金融,26,1374.9,4.93%,37.61,54.28,-16.67
27,塑料制品,78,10934.2,4.75%,89.69,98.44,-8.75
28,零售,72,2371.04,4.61%,113.74,116.58,-2.83
29,其他电子,34,19018.5,4.38%,99.63,99.99,-0.36
30,工程机械,36,3711.77,4.34%,40.99,41.81,-0.82
31,建筑材料,71,6080.56,4.15%,63.65,73.18,-9.53
32,综合,17,2619.27,4.10%,45.89,45.07,0.82
33,建筑装饰,151,4631.92,4.06%,115.53,128.07,-12.54
34,纺织制造,32,2638.1,4.05%,22.79,26.76,-3.97
35,医药商业,32,5714.77,3.91%,27.93,35.53,-7.61
36,生物制品,55,6810.09,3.89%,35.11,32.37,2.73
37,医疗器械,134,12896.2,3.86%,91.6,116.54,-24.94
38,包装印刷,47,5091.63,3.85%,65.39,63.25,2.14
39,光学光电子,108,5302.4,3.85%,177.12,201.15,-24.03
40,贵金属,11,4696.63,3.83%,46.32,53.71,-7.38
41,环保设备,29,1342.41,3.81%,12.01,13.15,-1.14
42,煤炭开采加工,33,2627.75,3.65%,71.13,56.36,14.77
43,化学制药,157,6963.68,3.65%,118.8,117.41,1.39
44,黑色家电,9,4549.82,3.53%,8.87,13.57,-4.7
45,旅游及酒店,35,3507.74,3.49%,31.86,28.08,3.78
46,消费电子,98,12473.4,3.38%,330.17,377.08,-46.91
47,白色家电,43,8703.29,3.17%,123.11,149.86,-26.75
48,厨卫电器,9,7299.9,3.14%,3.95,4.55,-0.6
49,电机,25,3941.97,3.09%,42.21,48.7,-6.49
50,橡胶制品,21,16587.8,3.06%,9.63,11.6,-1.97
51,油气开采及服务,20,1509.24,3.04%,27.81,40.73,-12.92
52,元件,60,16046.5,3.02%,231.2,230.7,0.5
53,食品加工制造,66,5610.41,3.02%,23.33,28.32,-4.99
54,环境治理,112,4329.4,2.98%,61.8,71.58,-9.78
55,非金属材料,13,28653.4,2.93%,12.3,10.41,1.89
56,钢铁,43,1875.92,2.93%,64.32,64.85,-0.53
57,服装家纺,76,3195.28,2.79%,26.03,34.31,-8.28
58,燃气,28,1868.41,2.66%,13.2,20.67,-7.47
59,房地产,90,1921.6,2.63%,88.47,107.33,-18.86
60,化学制品,175,7542.54,2.63%,129.46,147.29,-17.82
61,美容护理,32,5975.79,2.47%,9.97,13.37,-3.41
62,轨交设备,30,1194.86,2.40%,12.72,16.35,-3.63
63,电力,104,1842.37,2.34%,102.44,106.49,-4.05
64,家居用品,97,4659.23,2.31%,28.51,34.07,-5.55
65,汽车零部件,261,7389.11,2.24%,327.6,392.56,-64.96
66,化学原料,60,3398.55,2.21%,56.21,62.91,-6.71
67,饮料制造,46,5447.38,2.10%,21.77,25.76,-3.99
68,养殖业,38,3192.88,1.77%,28.11,31.69,-3.58
69,工业金属,58,4648.54,1.66%,288.15,308.47,-20.33
70,港口航运,36,1204.6,1.57%,25.06,32.89,-7.83
71,种植业与林业,30,4696.05,1.57%,39.74,37.84,1.91
