股票代码,股票名称,行业
600886,国投电力,电力行业
000681,视觉中国,文化传媒
600699,均胜电子,汽车零部件
600027,华电国际,电力行业
601928,凤凰传媒,文化传媒
002706,良信股份,电网设备
601985,中国核电,电力行业
600037,歌华有线,文化传媒
600674,川投能源,电力行业

