股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.603386,骏亚科技,16.53,12.05,8.26,651886001.0,2.43,7.76,18.41,0.977,1,电子,71.34
sh.605378,野马电池,16.9,8.39,4.38,205197913.0,3.07,13.73,27.07,1.0,1,电池,67.18
sh.600105,永鼎股份,19.12,4.42,2.37,252248093.0,2.51,8.88,15.81,1.0,1,通信,65.17
sh.600203,福日电子,6.64,28.48,24.92,1396167627.0,1.68,2.47,43.41,1.0,1,电子,64.89
sh.603390,通达电气,14.36,12.99,6.5,671016988.0,2.29,2.28,20.98,0.97,1,电子,61.97
sh.603679,华体科技,17.68,6.98,8.81,219282338.0,1.2,9.0,28.96,0.985,1,电子,61.64
sh.600552,凯盛科技,18.01,10.03,10.77,1689697486.0,1.18,6.44,33.7,0.984,1,电子,61.59
sh.603690,至纯科技,28.38,9.42,9.59,1015333574.0,1.48,7.09,11.69,0.991,1,电子,60.17
sh.600490,鹏欣资源,13.38,7.03,9.93,1631278652.0,1.27,17.27,29.53,1.0,1,铜,59.97
sh.603933,睿能科技,21.12,7.18,10.24,1271079080.0,1.06,12.94,39.31,1.0,1,电子,57.99
sh.603989,艾华集团,22.0,4.71,2.87,402492618.0,1.84,3.19,12.47,1.0,1,电子,51.82
sh.600707,彩虹股份,10.87,4.9,5.8,1879660106.0,1.02,18.8,51.18,1.0,1,电子,47.63
sh.600546,山煤国际,9.26,3.24,1.98,761795157.0,1.57,6.81,25.47,1.0,0,,47.27
sh.603293,埃泰克,19.35,3.5,1.9,142970676.0,1.51,4.65,6.2,1.0,1,电子,46.46
sh.605218,伟时电子,19.35,3.5,1.9,142970676.0,1.51,4.65,6.2,1.0,1,电子,46.46
sh.603298,杭叉集团,19.86,3.57,1.93,238051745.0,2.95,5.25,1.33,1.0,0,,45.21
sh.603162,海通发展,19.26,6.52,7.04,352416072.0,0.81,5.53,35.44,1.0,0,,44.23
sh.603936,博敏电子,20.88,9.07,12.12,1205798704.0,0.82,3.26,46.63,0.939,1,电子,44.2
sh.600703,三安光电,16.18,5.68,7.69,4601678556.0,0.85,0.87,33.28,0.927,1,电子,41.87
sh.600151,航天机电,14.99,7.03,5.27,1504753199.0,1.48,-1.38,7.76,0.954,1,电池,40.92
sh.603626,科森科技,26.71,8.25,7.23,1207585641.0,1.02,-3.29,10.83,0.964,1,电子,40.91
sh.603823,百合花,20.9,3.09,3.9,266880263.0,1.1,15.6,38.04,0.998,0,,40.73
sh.603032,德新科技,11.82,4.05,5.21,580371268.0,0.92,3.96,0.85,0.981,1,电池,39.15
sh.603527,众源新材,13.48,5.09,5.99,216380179.0,0.77,-0.81,16.01,0.966,1,铜,38.39
sh.603855,华荣股份,9.0,2.33,2.13,148998456.0,1.2,4.53,18.89,1.0,0,,38.13
sh.603002,宏昌电子,14.98,6.32,7.88,1090568717.0,0.86,-2.16,16.3,0.916,1,电子,36.71
sh.603305,旭升集团,16.79,4.33,3.44,842255181.0,1.33,1.08,12.23,1.0,0,,34.43
sh.600487,亨通光电,22.3,6.82,11.13,244799058.0,0.62,-3.04,3.96,0.936,1,通信,33.66
sh.603703,盛洋科技,14.2,2.92,2.91,171019266.0,0.97,-3.53,8.48,0.965,1,电子,33.48
sh.600198,大唐电信,9.29,3.98,9.09,480308648.0,0.61,-4.42,12.2,0.914,1,通信,32.8
