板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
热词:十五五,-12.2,2,2,24,25,十五五,【新思想引领新征程】奋力谱写新时代生态文明建设新篇章,【新思想引领新征程】奋力谱写新时代生态文明建设新篇章 生态文明建设是关系中华民族永续发展的根本大计。习近平总书记强调，必须以更高站位、更宽视野、更大力度来谋划和推进新征程生态环境保护工作，谱写新时代生态文明建设新篇章。在习近平生态文明思想指
教育,-3.7,0,0,3,14,教育,赵乐际同格鲁吉亚议长会谈,赵乐际同格鲁吉亚议长会谈 全国人大常委会委员长赵乐际18日在北京人民大会堂同格鲁吉亚议长帕普阿什维利举行会谈。赵乐际表示，在习近平主席和贵国领导人战略引领下，中格建立战略伙伴关系，双边关系驶入高质量、全方位发展快车道。中方愿同格方一道，落实
热词:十五五,-3.7,0,0,3,14,十五五,赵乐际同格鲁吉亚议长会谈,赵乐际同格鲁吉亚议长会谈 全国人大常委会委员长赵乐际18日在北京人民大会堂同格鲁吉亚议长帕普阿什维利举行会谈。赵乐际表示，在习近平主席和贵国领导人战略引领下，中格建立战略伙伴关系，双边关系驶入高质量、全方位发展快车道。中方愿同格方一道，落实
电力,-10.1,1,2,19,17,电力,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
综合,-10.1,1,2,19,17,综合,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
热词:十五五,-10.1,1,2,19,17,十五五,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
热词:集团,-10.1,1,2,19,17,集团,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
热词:今年以来,-10.1,1,2,19,17,今年以来,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
热词:十五五,-3.9,1,1,1,18,十五五,韩正出席2026年全球贸易投资促进峰会开幕式并致辞,韩正出席2026年全球贸易投资促进峰会开幕式并致辞 5月18日，国家副主席韩正在北京出席2026年全球贸易投资促进峰会开幕式并致辞。韩正表示，当前国际形势变乱交织，全球经贸秩序遭受严重冲击。习近平主席指出，面对风险和挑战，任何国家都不可能独
教育,-3.5,0,0,3,13,教育,中共中央办公厅印发《中国共产党发展党员工作细则》,中共中央办公厅印发《中国共产党发展党员工作细则》 近日，中共中央办公厅印发了《中国共产党发展党员工作细则》，并发出通知，要求各地区各部门认真遵照执行。通知指出，发展党员工作是党的建设一项重要的基础性工程。各级党委及其组织部门要深入贯彻新时代
热词:其中,4.1,9,1,3,15,其中,前4个月国民经济保持稳中有进发展态势,前4个月国民经济保持稳中有进发展态势 国务院新闻办今天（5月18日）举行新闻发布会，国家统计局发布的数据显示，今年前四个月，国民经济保持向新向优发展态势，展现出强大韧性和活力。生产供给持续增长。1—4月份，规模以上工业增加值同比增长5.6%
热词:月份,4.1,9,1,3,15,月份,前4个月国民经济保持稳中有进发展态势,前4个月国民经济保持稳中有进发展态势 国务院新闻办今天（5月18日）举行新闻发布会，国家统计局发布的数据显示，今年前四个月，国民经济保持向新向优发展态势，展现出强大韧性和活力。生产供给持续增长。1—4月份，规模以上工业增加值同比增长5.6%
热词:今年以来,4.1,9,1,3,15,今年以来,前4个月国民经济保持稳中有进发展态势,前4个月国民经济保持稳中有进发展态势 国务院新闻办今天（5月18日）举行新闻发布会，国家统计局发布的数据显示，今年前四个月，国民经济保持向新向优发展态势，展现出强大韧性和活力。生产供给持续增长。1—4月份，规模以上工业增加值同比增长5.6%
热词:万元,-0.9,0,0,1,3,万元,加力优化离境退税 打造国际化消费环境,加力优化离境退税 打造国际化消费环境 国务院新闻办今天（5月18日）举行新闻发布会，商务部、国家税务总局等部门介绍加力优化离境退税措施扩大入境消费有关情况。今天，商务部等6部门出台《关于加力优化离境退税措施扩大入境消费的通知》。本次推出的离
热词:月份,0.1,1,0,3,0,月份,国内联播快讯,国内联播快讯 4月份一线城市商品住宅销售价格环比上涨国家统计局今天（5月18日）发布的数据显示，4月份，一线城市新建商品住宅销售价格环比上涨0.1%；二手住宅销售价格环比上涨0.4%，涨幅与上月相同。在统计范围内的70个大中城市中，新建商品
电子,0.0,0,0,0,0,电子,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
综合,0.0,0,0,0,0,综合,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
