板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
人工智能,-3.1,2,0,5,18,人工智能,习近平同塔吉克斯坦总统会谈,习近平同塔吉克斯坦总统会谈 5月12日下午，国家主席习近平在北京人民大会堂同来华进行国事访问的塔吉克斯坦总统拉赫蒙举行会谈。习近平祝贺塔吉克斯坦独立35周年并取得国家建设重大成就。习近平指出，相互坚定支持是中塔关系的核心要义。无论外部环境如
数字经济,-3.1,2,0,5,18,数字经济,习近平同塔吉克斯坦总统会谈,习近平同塔吉克斯坦总统会谈 5月12日下午，国家主席习近平在北京人民大会堂同来华进行国事访问的塔吉克斯坦总统拉赫蒙举行会谈。习近平祝贺塔吉克斯坦独立35周年并取得国家建设重大成就。习近平指出，相互坚定支持是中塔关系的核心要义。无论外部环境如
跨境出海,-3.1,2,0,5,18,一带一路,习近平同塔吉克斯坦总统会谈,习近平同塔吉克斯坦总统会谈 5月12日下午，国家主席习近平在北京人民大会堂同来华进行国事访问的塔吉克斯坦总统拉赫蒙举行会谈。习近平祝贺塔吉克斯坦独立35周年并取得国家建设重大成就。习近平指出，相互坚定支持是中塔关系的核心要义。无论外部环境如
人工智能,-4.9,0,0,5,17,人工智能,习近平会见文莱王储,习近平会见文莱王储 5月12日下午，国家主席习近平在北京人民大会堂会见来华进行正式访问的文莱王储比拉。习近平指出，中国和文莱是亲密邻邦，海上丝绸之路将两国紧紧联系在一起。中文合作不仅给两国人民带来实实在在利益，也树立了大小国家平等相待、合作
数字经济,-4.9,0,0,5,17,数字经济,习近平会见文莱王储,习近平会见文莱王储 5月12日下午，国家主席习近平在北京人民大会堂会见来华进行正式访问的文莱王储比拉。习近平指出，中国和文莱是亲密邻邦，海上丝绸之路将两国紧紧联系在一起。中文合作不仅给两国人民带来实实在在利益，也树立了大小国家平等相待、合作
人工智能,-1.0,1,0,4,4,人工智能,习近平会见联合国教科文组织总干事,习近平会见联合国教科文组织总干事 5月12日下午，国家主席习近平在北京人民大会堂会见联合国教科文组织总干事阿纳尼。习近平指出，联合国教科文组织为增进各国人民相互了解信任、推动不同文明交流互鉴作出了重要贡献，也为改革完善全球教育、科学、文化治
人工智能,-2.8,0,0,2,11,人工智能,韩正同文莱王储举行会谈,韩正同文莱王储举行会谈 5月12日，国家副主席韩正在北京同文莱王储比拉举行会谈。韩正表示，中文友谊根植于跨越千年的友好交往，是国家间平等相待、互利共赢的典范。去年习近平主席同哈桑纳尔苏丹就构建中文命运共同体达成重要共识，为中文关系发展擘画了
数字经济,-2.8,0,0,2,11,数字经济,韩正同文莱王储举行会谈,韩正同文莱王储举行会谈 5月12日，国家副主席韩正在北京同文莱王储比拉举行会谈。韩正表示，中文友谊根植于跨越千年的友好交往，是国家间平等相待、互利共赢的典范。去年习近平主席同哈桑纳尔苏丹就构建中文命运共同体达成重要共识，为中文关系发展擘画了
跨境出海,-2.8,0,0,2,11,一带一路,韩正同文莱王储举行会谈,韩正同文莱王储举行会谈 5月12日，国家副主席韩正在北京同文莱王储比拉举行会谈。韩正表示，中文友谊根植于跨越千年的友好交往，是国家间平等相待、互利共赢的典范。去年习近平主席同哈桑纳尔苏丹就构建中文命运共同体达成重要共识，为中文关系发展擘画了
人工智能,-3.6,1,0,6,14,人工智能,今年以来我国未来产业布局提速,今年以来我国未来产业布局提速 今年以来，我国不断完善未来产业布局，一批前沿技术加快突破，新赛道培育扎实推进。不久前，在北京，全国首家太空算力创新中心启动筹建。太空算力，就是把地面的数据中心“搬”到太空，在天上完成数据采集、处理和输出。今年，
算力,-3.6,1,0,6,14,算力|数据中心,今年以来我国未来产业布局提速,今年以来我国未来产业布局提速 今年以来，我国不断完善未来产业布局，一批前沿技术加快突破，新赛道培育扎实推进。不久前，在北京，全国首家太空算力创新中心启动筹建。太空算力，就是把地面的数据中心“搬”到太空，在天上完成数据采集、处理和输出。今年，
机器人,-3.6,1,0,6,14,机器人|人形机器人,今年以来我国未来产业布局提速,今年以来我国未来产业布局提速 今年以来，我国不断完善未来产业布局，一批前沿技术加快突破，新赛道培育扎实推进。不久前，在北京，全国首家太空算力创新中心启动筹建。太空算力，就是把地面的数据中心“搬”到太空，在天上完成数据采集、处理和输出。今年，
军工,0.2,1,0,0,4,国防,各地各部门开展防灾减灾科普教育活动,各地各部门开展防灾减灾科普教育活动 今天（5月12日）是第18个全国防灾减灾日，围绕“人人讲安全、个个会应急——提高防灾减灾救灾能力”的主题，各地各部门广泛开展形式多样的科普教育活动，提升群众防灾避险能力。今年主场活动设在江西南昌，现场结合
人工智能,-1.4,4,0,8,15,人工智能|AI,国内联播快讯,国内联播快讯 我国护士队伍持续壮大 专业素质稳步提升今天（5月12日）是国际护士节。截至2025年底，全国注册护士总量达到606.2万，较2020年增幅约29%。具有大专以上学历护士占比超过80%。我国实施改善护理服务行动计划，护理工作逐渐
低空经济,-3.2,0,3,0,1,无人机,国际联播快讯,国际联播快讯 伊朗呼吁美国接受其方案伊朗议长卡利巴夫今天（5月12日）发文表示，美国必须接受伊朗14点方案中提出的伊朗人民的各项权利，任何偏离这一框架的做法都只会失败。他同时表示，拖延越久，美国纳税人为此付出的代价越高。美国总统特朗普11日
军工,-3.2,0,3,0,1,国防|美国,国际联播快讯,国际联播快讯 伊朗呼吁美国接受其方案伊朗议长卡利巴夫今天（5月12日）发文表示，美国必须接受伊朗14点方案中提出的伊朗人民的各项权利，任何偏离这一框架的做法都只会失败。他同时表示，拖延越久，美国纳税人为此付出的代价越高。美国总统特朗普11日
