title,content,source,pub_time
,财联社5月5日电，美国ISM服务业支付价格指数持平于70.7，预期为73.5。,cls,22:04:23
,财联社5月5日电，美国3月份职位空缺数686.6万个，预期为685万个。,cls,22:04:36
电视剧、网络剧片头新增“保护正版 人人有责”的提示,【电视剧、网络剧片头新增“保护正版 人人有责”的提示】财联社5月5日电，在今日播出的电视剧《喀什恋歌》片头，紧随“电视剧发行许可证”画面之后，新增了一帧独立画面：保护正版 人人有责。记者从中国电视剧制作产业协会获悉，在片头加注版权保护重要提示语，将成为各大长视频平台和电视台新上剧集的“标准动作”。 (中新网),cls,22:09:15
法国议会两院对等混合委员会通过草案 简化非法所获文物归还程序,【法国议会两院对等混合委员会通过草案 简化非法所获文物归还程序】财联社5月5日电，法国议会两院对等混合委员会日前就一项旨在简化非法所获他国文物归还程序的法律草案达成一致。该草案文本将于6日和7日分别在法国国民议会（议会下院）和参议院（议会上院）审议。这项草案旨在简化法国公共领域的非法所获他国文物归还程序。根据法国现行法律，所谓“纳入公共领域的文物原则上不可转让”，归还相关文物需逐案立法处理，程序较为复杂。而最新草案拟建立一套制度性机制：允许在符合归还条件的情况下，将1815年至1972年间法国以偷盗、掠夺等方式所得的外国文物，从公共领域中“移出”，简化归还程序。届时归还事宜还可通过行政程序批准，无需逐案立法。 (新华社),cls,22:11:54
,财联社5月5日电，日产汽车发言人表示，计划在财政年度结束前在欧洲的9300个职位中削减900个工作岗位。,cls,22:17:20
,财联社5月5日电，美股涨幅略有收窄，截至目前，道琼斯指数涨0.47%，标普500指数涨0.65%，纳斯达克综合指数涨0.78%。,cls,22:18:06
阿联酋称防空系统正应对导弹和无人机袭击,【阿联酋称防空系统正应对导弹和无人机袭击】财联社5月5日电，阿联酋国防部5日在社交媒体上发文称，阿联酋的防空系统目前正在应对导弹和无人机袭击。,cls,22:19:51
伊朗最高领袖外事顾问：伊美之间仍处于战争状态,【伊朗最高领袖外事顾问：伊美之间仍处于战争状态】财联社5月5日电，伊朗最高领袖外事顾问韦拉亚提对外界表示，霍尔木兹海峡已被关闭，除非“伊朗伊斯兰共和国的国家意志决定”，否则海峡不会重新开放。韦拉亚提在一份声明中表示，美国总统特朗普关于限制伊朗导弹能力的说法是没有根据的，伊朗与美国之间仍处于战争状态，并将继续开展“抵抗”。 (央视新闻),cls,22:20:52
俄称击落17架接近莫斯科的无人机,【俄称击落17架接近莫斯科的无人机】财联社5月5日电，俄罗斯莫斯科市长索比亚宁当地时间5月5日通报称，又有7架飞往莫斯科的无人机被击落。自当日零时起，共有17架无人机在接近莫斯科时被击落。,cls,22:22:08
英特尔股价上涨超15% 今年以来的涨幅接近200%,【英特尔股价上涨超15% 今年以来的涨幅接近200%】财联社5月5日电，英特尔股价上涨超15%，报110.16美元/股，总市值5536亿美元，今年以来的涨幅接近200%。有报道称苹果正考虑与英特尔和三星合作，为其设备制造处理器。,cls,22:31:04
,财联社5月5日电，闪迪盘中涨幅一度扩大至11%，总市值突破2000亿美元。,cls,22:33:41
,财联社5月5日电，微软公司声明称，与英国人工智能安全研究所签署人工智能测试协议。,cls,22:36:45
,财联社5月5日电，据报道，俄罗斯法院下令将Ros Agro股份收归国有。,cls,22:38:41
欧盟将在人工智能等科技领域与日本加强合作,【欧盟将在人工智能等科技领域与日本加强合作】财联社5月5日电，第四次欧盟与日本数字伙伴关系理事会会议5日在布鲁塞尔举行。欧盟委员会表示，将与日本进一步深化在数据、人工智能、量子技术、数字基础设施及在线平台等领域的监管、科研与产业合作。,cls,22:39:57
美防长称“自由计划”是临时任务 不寻求交战,【美防长称“自由计划”是临时任务 不寻求交战】财联社5月5日电，美国国防部长赫格塞思5日说，美军在霍尔木兹海峡实施的“自由计划”是临时任务，美军行动属于防御性质，并不寻求交战。赫格塞思当天在五角大楼同美军参谋长联席会议主席凯恩举行新闻发布会。赫格塞思说，“自由计划”疏导行动与“史诗怒火”行动截然不同，“自由计划”属于防御性质，范围聚焦且持续时间有限，目的是“保护商船免受伊朗的侵犯”。美军“不需要、也完全没有必要”进入伊朗领海或领空，“我们不寻求交战”。他同时强调，对伊朗港口的封锁行动依然全面生效。他宣称，“伊朗没有控制霍尔木兹海峡”，已有两艘美国商船在美军驱逐舰的护航下安全通过了海峡，目前还有来自世界各国的数百艘船只正等待通过。,cls,22:45:42
阿联酋发布导弹威胁警报,【阿联酋发布导弹威胁警报】财联社5月5日电，阿联酋5日下午向民众手机发布紧急警报说，其防空系统正在应对导弹威胁，民众应立即采取避险措施。,cls,22:47:24
湖南烟花爆竹企业全面停产整顿,【湖南烟花爆竹企业全面停产整顿】财联社5月5日电，据湖南省应急管理厅消息，即日起，全省烟花爆竹企业全面停产整顿，全力防范和消除各类安全隐患。此次停产整顿将聚焦生产、经营、运输、燃放、出口等环节，重点查处企业“三超一改”、分包转包、生产经营超标违禁产品、多股东独立生产等问题。严格落实“五个一批”要求，即：严厉打击一批非法违法行为，关闭退出一批违法从业单位，清理销毁一批超标违禁产品，集中曝光一批典型案例，通报约谈一批问题突出地区，确保烟花爆竹行业领域非法违法行为得到有效整治。同时，举一反三，在全省进一步深入开展安全生产隐患大排查、大整治，对重点行业拉网式排查，堵塞漏洞，压实责任，全力提升本质安全水平，守牢守严红线、底线。 (新华社),cls,22:54:43
,财联社5月5日电，Anthropic发布面向金融服务公司的新型AI智能体。,cls,23:01:20
路易丝·阿伯将出任加拿大总督,【路易丝·阿伯将出任加拿大总督】财联社5月5日电，加拿大总理马克·卡尼5日宣布，他推荐路易丝·阿伯担任第31任加拿大总督，英国国王查尔斯三世已接受这一建议。,cls,23:07:24
伊朗总统办公室官员否认总统辞职传闻,【伊朗总统办公室官员否认总统辞职传闻】财联社5月5日电，据伊朗方面5日消息，伊朗总统办公室一名官员否认有关伊朗总统佩泽希齐扬可能辞职的传闻。这名官员表示，相关说法不属实，当前局势下并不存在考虑此类问题的必要性。报道还说，相关说法为部分媒体在缺乏话题情况下制造的谣言。 (央视新闻),cls,23:07:52
,马拉松石油 CEO：受战争影响，全球 6% 的炼油产能已停工停产。,sina,2026-05-05 23:10:26
,贝莱德CEO拉里・芬克：算力期货将成为全新资产类别。,sina,2026-05-05 23:09:46
,彭博美元现货指数跌幅延续至日内低点。,sina,2026-05-05 23:07:56
,【伊朗总统办公室否认有关伊朗总统佩泽希齐扬可能辞职的传闻】据伊朗学生通讯社5日报道，伊朗总统办公室一名官员否认有关伊朗总统佩泽希齐扬可能辞职的传闻。 这名官员表示，相关说法不属实，当前局势下并不存在考虑此类问题的必要性。报道还说，相关说法为部分媒体在缺乏话题情况下制造的谣言。,sina,2026-05-05 23:07:28
,边疆航空首席执行官：预计第二季度每可用座位英里营收（RASM）将同比增长20%。,sina,2026-05-05 23:07:08
,【路易丝·阿伯将出任加拿大总督】加拿大总理马克·卡尼5日宣布，他推荐路易丝·阿伯担任第31任加拿大总督，英国国王查尔斯三世已接受这一建议。,sina,2026-05-05 23:06:29
,边疆航空首席执行官：预计第二季度将回收约35%-45%的燃料成本。,sina,2026-05-05 23:06:08
,特朗普：伊朗别想跟我们玩套路，你们等着瞧。,sina,2026-05-05 23:06:03
,保加利亚总统伊莉安娜·约托娃表示，将授予前总统鲁门·拉德夫领导的“进步保加利亚”政党组建政府的授权。,sina,2026-05-05 23:05:34
,罗马尼亚总统丹表示，尽管遭遇不信任投票，亲欧政党仍承诺兑现削减赤字目标与欧盟资金使用承诺。,sina,2026-05-05 23:05:23
,【美国3月新屋销售增长超预期 房价下滑与促销发力推动】美国3月新屋销售增长超出预期，得益于售价中值降至逾四年低点且建筑商提供优惠。政府周二公布的数据显示，新建单户型住宅销售较2月增长7.4%，折合年率为68.2万套，为今年以来最快增速。彭博对经济学家的调查中值为65.2万套。该报告还首次公布了2月销售数据，此前因去年末联邦政府停摆而推迟发布。,sina,2026-05-05 23:05:18
,乌克兰扎波罗热州州长称，俄罗斯袭击造成两人死亡。,sina,2026-05-05 23:04:51
,MoonPay以1亿美元全股票交易收购索拉纳链交易基础设施平台DFlow。,sina,2026-05-05 23:04:46
,Anthropic将推出10款金融服务专用智能代理模板。,sina,2026-05-05 23:04:13
,边疆航空首席执行官：精神航空退出显著改变了供应格局。,sina,2026-05-05 23:03:46
,Coinbase封装比特币的供应量持续走高，目前规模达9万枚比特币，占市场总量的30%。,sina,2026-05-05 23:03:35
,哥伦比亚3月份出口额为53.16亿美元，预计为49.3亿美元。,sina,2026-05-05 23:03:08
,爱彼迎：符合条件的体验与服务现已可让入住旅客赚取达美航空里程。,sina,2026-05-05 23:02:48
,特朗普：在伊朗一切顺利。,sina,2026-05-05 23:02:29
,消息人士：OpenAI、Anthropic旗下合资企业正洽谈收购工程公司。,sina,2026-05-05 23:02:11
