板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
教育,-3.7,0,0,3,14,教育,赵乐际同格鲁吉亚议长会谈,赵乐际同格鲁吉亚议长会谈 全国人大常委会委员长赵乐际18日在北京人民大会堂同格鲁吉亚议长帕普阿什维利举行会谈。赵乐际表示，在习近平主席和贵国领导人战略引领下，中格建立战略伙伴关系，双边关系驶入高质量、全方位发展快车道。中方愿同格方一道，落实
电力,-10.1,1,2,19,17,电力,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
综合,-10.1,1,2,19,17,综合,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
教育,-3.5,0,0,3,13,教育,中共中央办公厅印发《中国共产党发展党员工作细则》,中共中央办公厅印发《中国共产党发展党员工作细则》 近日，中共中央办公厅印发了《中国共产党发展党员工作细则》，并发出通知，要求各地区各部门认真遵照执行。通知指出，发展党员工作是党的建设一项重要的基础性工程。各级党委及其组织部门要深入贯彻新时代
电子,0.0,0,0,0,0,电子,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
综合,0.0,0,0,0,0,综合,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
机器人,-6.5,5,0,15,35,机器人,李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势,李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势 【李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势】中共中央政治局常委、国务院总理李强5月18日在北京调研。他
汽车,-6.5,5,0,15,35,汽车,李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势,李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势 【李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势】中共中央政治局常委、国务院总理李强5月18日在北京调研。他
综合,-6.5,5,0,15,35,综合,李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势,李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势 【李强在北京调研时强调 推动人工智能与先进制造业深度融合 加快培育塑造经济发展新动能新优势】中共中央政治局常委、国务院总理李强5月18日在北京调研。他
电力,3.0,4,0,0,5,电力,华为董事侯金龙：全球AIDC装机规模将持续突破,华为董事侯金龙：全球AIDC装机规模将持续突破 【华为董事侯金龙：全球AIDC装机规模将持续突破】财联社5月18日电，华为董事、华为数字能源总裁侯金龙日前在2026全球AIDC产业论坛上表示，人工智能产业的快速发展与大模型、海量智能体的规模
电子,3.0,4,0,0,5,电子,华为董事侯金龙：全球AIDC装机规模将持续突破,华为董事侯金龙：全球AIDC装机规模将持续突破 【华为董事侯金龙：全球AIDC装机规模将持续突破】财联社5月18日电，华为董事、华为数字能源总裁侯金龙日前在2026全球AIDC产业论坛上表示，人工智能产业的快速发展与大模型、海量智能体的规模
银行,-0.2,0,0,0,1,银行,nan,财联社5月18日电，‌英国国民西敏寺银行‌（NatWest）承诺在未来十年内向英格兰北部地区发展投入200亿英镑。
租赁,4.0,4,0,0,0,租赁,【风口研报·公司】AI算力的关键环节，公司作为先进封装大陆龙头，国内市占率已超80%，募投产能释放后有望进一步保持领先身位；另有公司拟扩产至近4万PFLOPS，有望贡献第二业绩增长曲线,【风口研报·公司】AI算力的关键环节，公司作为先进封装大陆龙头，国内市占率已超80%，募投产能释放后有望进一步保持领先身位；另有公司拟扩产至近4万PFLOPS，有望贡献第二业绩增长曲线 ①AI算力的关键环节，公司作为先进封装大陆龙头，国内市
医院,0.0,0,0,0,0,医院,伊朗披露穆杰塔巴受伤细节,伊朗披露穆杰塔巴受伤细节 【伊朗披露穆杰塔巴受伤细节】据伊朗学生通讯社18日报道，伊朗卫生部一名官员说，伊朗最高领袖穆杰塔巴在美国和以色列对伊战事首日受伤，但并未受重伤。报道说，伊朗卫生部公共关系与信息中心负责人日前表示，穆杰塔巴受伤后被送
汽车,0.0,0,0,0,0,汽车,利弗莫尔中概股龙头指数盘初下跌0.5%,利弗莫尔中概股龙头指数盘初下跌0.5% 【利弗莫尔中概股龙头指数盘初下跌0.5%】财联社5月18日电，利弗莫尔中概股龙头指数盘初下跌0.5%，报9979.75点。成分股中，理想汽车跌9.72%，再鼎医药跌5.73%，贝壳跌3.82%，日月光
半导体,0.0,0,0,0,0,半导体,费城半导体指数开盘上涨1.3%,费城半导体指数开盘上涨1.3% 【费城半导体指数开盘上涨1.3%】财联社5月18日电，费城半导体指数开盘上涨1.3%。英伟达股价上涨1.13%，台积电股价上涨0.2%，博通股价下跌1.31%，美光科技股价上涨3.86%，超威半导体股价上涨3
通信设备,2.7,3,0,1,0,通信设备,吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点,吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点 【吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点】财联社5月18日电，吴通控股(300292.SZ)在业绩说明会上表示，在运营商网络建设投资
通信,2.7,3,0,1,0,通信,吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点,吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点 【吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点】财联社5月18日电，吴通控股(300292.SZ)在业绩说明会上表示，在运营商网络建设投资
机器人,0.0,0,0,0,0,机器人,中航西飞：目前在商业航天领域的收入占整体营业收入的比例较小,中航西飞：目前在商业航天领域的收入占整体营业收入的比例较小 【中航西飞：目前在商业航天领域的收入占整体营业收入的比例较小】财联社5月18日电，中航西飞在互动平台表示，公司聚焦航空主业，主要从事军用大中型运输机、轰炸机、特种飞机整机、军民用航
通信设备,1.7,2,0,1,0,通信设备,nan,【吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点】吴通控股(300292.SZ)在业绩说明会上表示，在运营商网络建设投资持续减少的不利局面下，物联科技努力稳固通信底盘，新能源CCS及软硬连接产品领域开始批量发货，正
通信,1.7,2,0,1,0,通信,nan,【吴通控股：新能源CCS及软硬连接产品领域开始批量发货 逐步成为新的增长点】吴通控股(300292.SZ)在业绩说明会上表示，在运营商网络建设投资持续减少的不利局面下，物联科技努力稳固通信底盘，新能源CCS及软硬连接产品领域开始批量发货，正
半导体,0.0,0,0,0,0,半导体,nan,【费城半导体指数开盘上涨1.3%】费城半导体指数开盘上涨1.3%。英伟达股价上涨1.13%，台积电股价上涨0.2%，博通股价下跌1.31%，美光科技股价上涨3.86%，超威半导体股价上涨3.04%，阿斯麦股价上涨0.6%。
教育,0.0,0,0,0,0,教育,nan,在线教育平台Coursera宣布推出规模为5亿美元的股票回购计划后，其股价上涨5%。
电力,0.0,0,0,0,0,电力,nan,福特股价上涨1.6%，此前福特能源与法国电力北美电力解决方案宣布达成框架协议。
半导体,0.0,0,0,0,0,半导体,nan,美股盘初，主要行业ETF涨跌不一，半导体ETF涨1.45%，全球科技股指数ETF涨1%，能源业ETF跌0.4%。
汽车,-0.2,0,0,0,1,汽车,nan,纳斯达克中国金龙指数跌超0.5%，理想汽车跌9.72%，小牛电动跌6.34%，再鼎医药跌6.27%，海天网络跌5.30%，贝壳跌3.63%。
通信,0.0,0,0,0,0,通信,nan,【美股开盘：三大股指齐涨】道指涨0.00%，标普500指数涨0.10%，纳指涨0.11%。道明尼资源涨9.74%，回声星通信涨6.31%，英特尔涨5.11%，美光涨4.10%，现在服务涨3.57%。“七姐妹”方面：英伟达涨1.91%，苹果跌
