板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
算力,-5.6,6,0,22,25,算力|智算|数据中心,【新思想引领新征程】我国加快推进新型基础设施建设,【新思想引领新征程】我国加快推进新型基础设施建设 习近平总书记高度重视基础设施发展，强调适度超前部署新型基础设施建设。“十五五”开局之年，各地抢抓发展机遇，加快系统布局，推动新型基础设施建设跑出“加速度”。今天的中国，短短几毫秒，全国六成以
新能源车,-0.2,1,0,2,3,充电桩,【树立和践行正确政绩观】以学促干 将学习教育成效落到实处,【树立和践行正确政绩观】以学促干 将学习教育成效落到实处 树立和践行正确政绩观学习教育开展以来，贵州省贵阳市、山西省长治市一体推进学查改，深入查摆，狠抓整治，以务实之举推动学习教育持续走深走实。贵州贵阳在深学细悟上下功夫，坚持以学促干，出实
人工智能,5.9,8,0,1,9,人工智能,多项先行指标显示我国经济稳步向好态势,多项先行指标显示我国经济稳步向好态势 国家信息中心今天（5月10日）发布的先行指标显示，4月份以来，在一系列宏观政策协同发力下，我国多个经济领域保持向好态势。最新数据显示，4月份，我国投资结构持续优化，经济增长新动能加速激活。在政府和市场的
算力,5.9,8,0,1,9,算力,多项先行指标显示我国经济稳步向好态势,多项先行指标显示我国经济稳步向好态势 国家信息中心今天（5月10日）发布的先行指标显示，4月份以来，在一系列宏观政策协同发力下，我国多个经济领域保持向好态势。最新数据显示，4月份，我国投资结构持续优化，经济增长新动能加速激活。在政府和市场的
机器人,5.9,8,0,1,9,机器人|人形机器人,多项先行指标显示我国经济稳步向好态势,多项先行指标显示我国经济稳步向好态势 国家信息中心今天（5月10日）发布的先行指标显示，4月份以来，在一系列宏观政策协同发力下，我国多个经济领域保持向好态势。最新数据显示，4月份，我国投资结构持续优化，经济增长新动能加速激活。在政府和市场的
人工智能,-1.5,0,0,3,3,人工智能,全面扩围 我国加快建设一刻钟便民生活圈,全面扩围 我国加快建设一刻钟便民生活圈 今年以来，我国一刻钟便民生活圈建设全面扩围，各地形成了一批有温度、接地气的社区服务空间，百姓在家门口就能享受优质服务。今年，在一刻钟便民生活圈试点地区，养老服务站点和托育托管服务设施加快更新。河南鹤壁
数字经济,-1.5,0,0,3,3,云计算,全面扩围 我国加快建设一刻钟便民生活圈,全面扩围 我国加快建设一刻钟便民生活圈 今年以来，我国一刻钟便民生活圈建设全面扩围，各地形成了一批有温度、接地气的社区服务空间，百姓在家门口就能享受优质服务。今年，在一刻钟便民生活圈试点地区，养老服务站点和托育托管服务设施加快更新。河南鹤壁
算力,-1.0,0,0,0,5,算力,【文化中国行】珠算乾坤 指尖上的华夏智慧,【文化中国行】珠算乾坤 指尖上的华夏智慧 不用纸笔、不点计算器，一把算盘、十指翻飞，就能完成复杂运算。珠算，承载着华夏千年的数理智慧，今天（5月10日）的《文化中国行》，让我们走近珠算，感受方寸之间的东方算力。不久前，“指尖上的智慧”非遗美
人工智能,-4.2,0,2,2,8,人工智能,国内联播快讯,国内联播快讯 我国开展清理整顿人力资源市场秩序专项行动日前，我国开展2026年清理整顿人力资源市场秩序专项行动。各地将集中整治“招转培（贷）”欺诈，重点打击以招聘为名诱骗求职者参与付费培训乱象，着力整治虚假招聘，规范劳务派遣用工，依法纠治各
机器人,-4.2,0,2,2,8,机器人|人形机器人,国内联播快讯,国内联播快讯 我国开展清理整顿人力资源市场秩序专项行动日前，我国开展2026年清理整顿人力资源市场秩序专项行动。各地将集中整治“招转培（贷）”欺诈，重点打击以招聘为名诱骗求职者参与付费培训乱象，着力整治虚假招聘，规范劳务派遣用工，依法纠治各
低空经济,-0.3,0,0,1,0,无人机,美军称继续对伊朗海上封锁 伊朗称侵犯伊朗船只将引发猛烈打击,美军称继续对伊朗海上封锁 伊朗称侵犯伊朗船只将引发猛烈打击 美国中央司令部9日称，美军继续执行对伊朗的海上封锁，4月13日以来，美方已改变58艘商船的航向，并使4艘船只丧失航行能力。伊朗伊斯兰革命卫队海军当天警告称，任何针对伊朗油轮和商船的
军工,-0.3,0,0,1,0,国防|导弹,美军称继续对伊朗海上封锁 伊朗称侵犯伊朗船只将引发猛烈打击,美军称继续对伊朗海上封锁 伊朗称侵犯伊朗船只将引发猛烈打击 美国中央司令部9日称，美军继续执行对伊朗的海上封锁，4月13日以来，美方已改变58艘商船的航向，并使4艘船只丧失航行能力。伊朗伊斯兰革命卫队海军当天警告称，任何针对伊朗油轮和商船的
低空经济,-4.3,1,4,1,5,无人机,国际联播快讯,国际联播快讯 俄乌互相指责对方破坏停火俄罗斯国防部9日称，自8日零时停火以来记录到乌军包括无人机打击、地面进攻等多次违反停火的行为。针对美国方面称希望延长俄乌停火的说法，俄总统助理乌沙科夫9日回应说这缺乏现实基础。乌克兰武装部队9日称，自当
军工,-4.3,1,4,1,5,国防,国际联播快讯,国际联播快讯 俄乌互相指责对方破坏停火俄罗斯国防部9日称，自8日零时停火以来记录到乌军包括无人机打击、地面进攻等多次违反停火的行为。针对美国方面称希望延长俄乌停火的说法，俄总统助理乌沙科夫9日回应说这缺乏现实基础。乌克兰武装部队9日称，自当
