板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
人工智能,-4.6,3,0,16,14,人工智能,【实干笃行创伟业 团结奋斗新征程】重大工程扎实推进 夯实经济发展根基,【实干笃行创伟业 团结奋斗新征程】重大工程扎实推进 夯实经济发展根基 “五一”假期，一批“十五五”重大工程和各地重点工程扎实推进，建设者用坚守和奋斗，为“十五五”时期建设现代化基础设施体系贡献力量。这个假期，在“十五五”重大工程温福高铁福建
算力,-4.6,3,0,16,14,算力,【实干笃行创伟业 团结奋斗新征程】重大工程扎实推进 夯实经济发展根基,【实干笃行创伟业 团结奋斗新征程】重大工程扎实推进 夯实经济发展根基 “五一”假期，一批“十五五”重大工程和各地重点工程扎实推进，建设者用坚守和奋斗，为“十五五”时期建设现代化基础设施体系贡献力量。这个假期，在“十五五”重大工程温福高铁福建
新能源车,-4.6,3,0,16,14,锂电,【实干笃行创伟业 团结奋斗新征程】重大工程扎实推进 夯实经济发展根基,【实干笃行创伟业 团结奋斗新征程】重大工程扎实推进 夯实经济发展根基 “五一”假期，一批“十五五”重大工程和各地重点工程扎实推进，建设者用坚守和奋斗，为“十五五”时期建设现代化基础设施体系贡献力量。这个假期，在“十五五”重大工程温福高铁福建
低空经济,-2.0,0,1,2,2,无人机,【在希望的田野上】各地加大科技支撑 夯实粮食生产基础,【在希望的田野上】各地加大科技支撑 夯实粮食生产基础 立夏时节，农忙正酣。全国各地抢抓农时，加大科技支撑，夯实粮食生产基础。春播粮食面积占全年粮食面积的一半以上，主要包括早稻、中稻、玉米、大豆等作物。今年，全国春播意向面积总体稳定。这几天，
机器人,2.4,4,0,0,8,机器人,“五一”入境游升温 外国游客感受多彩中国,“五一”入境游升温 外国游客感受多彩中国 今年“五一”假期，入境游持续升温，越来越多外国游客感受中国的多彩魅力。在线旅游平台数据显示，这个“五一”假期，上海、北京、广州、深圳等核心城市仍是外国游客的首选目的地，同时三亚、揭阳等城市外国游客量
机器人,1.0,2,0,0,5,机器人|服务机器人,第139届广交会今天闭幕,第139届广交会今天闭幕 第139届广交会今天（5月5日）闭幕，本届展会展览规模超往届水平，为期十五天的展会累计吸引了超31万名境外采购商线下参会。本届广交会参展企业结构持续优化，超3.2万家参展企业中，拥有专精特新、单项冠军等称号的优质企
低空经济,1.0,2,0,0,5,无人机,第139届广交会今天闭幕,第139届广交会今天闭幕 第139届广交会今天（5月5日）闭幕，本届展会展览规模超往届水平，为期十五天的展会累计吸引了超31万名境外采购商线下参会。本届广交会参展企业结构持续优化，超3.2万家参展企业中，拥有专精特新、单项冠军等称号的优质企
低空经济,-0.3,0,0,1,0,无人机,美称在霍尔木兹海峡击沉6艘伊朗小型船只 伊称美“疏导”行动将酿僵局,美称在霍尔木兹海峡击沉6艘伊朗小型船只 伊称美“疏导”行动将酿僵局 美国中央司令部4日称，美军当天在霍尔木兹海峡击沉6艘试图阻挠船只航行的伊朗小型船只。美方还称，作为其名为“自由计划”的疏导行动第一步，两艘悬挂美国国旗的商船已成功通过霍尔木
军工,-0.3,0,0,1,0,导弹,美称在霍尔木兹海峡击沉6艘伊朗小型船只 伊称美“疏导”行动将酿僵局,美称在霍尔木兹海峡击沉6艘伊朗小型船只 伊称美“疏导”行动将酿僵局 美国中央司令部4日称，美军当天在霍尔木兹海峡击沉6艘试图阻挠船只航行的伊朗小型船只。美方还称，作为其名为“自由计划”的疏导行动第一步，两艘悬挂美国国旗的商船已成功通过霍尔木
军工,-1.3,0,0,3,2,国防,国际联播快讯,国际联播快讯 中国向黎巴嫩交付人道主义援助物资中国政府4日在贝鲁特港向黎巴嫩政府交付两批人道主义援助物资。援助物资包括粮食以及帐篷、毛毯、卫生用品等生活必需品，用于帮助受冲突影响的黎巴嫩民众及缓解当地人道主义局势。黎巴嫩方面对中方提供人道主
