板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
算力,1.0,9,1,10,20,数据中心,【新思想引领新征程】新型能源体系加快建设 筑牢能源安全根基,【新思想引领新征程】新型能源体系加快建设 筑牢能源安全根基 习近平总书记强调，能源保障和安全事关国计民生，是须臾不可忽视的“国之大者”。当前，我国加快推进新型能源体系建设，加大清洁能源开发力度，提升清洁能源利用水平，能源安全韧性不断增强，为
新能源车,1.0,9,1,10,20,电池,【新思想引领新征程】新型能源体系加快建设 筑牢能源安全根基,【新思想引领新征程】新型能源体系加快建设 筑牢能源安全根基 习近平总书记强调，能源保障和安全事关国计民生，是须臾不可忽视的“国之大者”。当前，我国加快推进新型能源体系建设，加大清洁能源开发力度，提升清洁能源利用水平，能源安全韧性不断增强，为
光伏,1.0,9,1,10,20,光伏|储能,【新思想引领新征程】新型能源体系加快建设 筑牢能源安全根基,【新思想引领新征程】新型能源体系加快建设 筑牢能源安全根基 习近平总书记强调，能源保障和安全事关国计民生，是须臾不可忽视的“国之大者”。当前，我国加快推进新型能源体系建设，加大清洁能源开发力度，提升清洁能源利用水平，能源安全韧性不断增强，为
跨境出海,-0.2,1,0,2,3,一带一路,李强会见乌兹别克斯坦总理,李强会见乌兹别克斯坦总理 5月7日下午，国务院总理李强在北京人民大会堂会见来华访问的乌兹别克斯坦总理阿里波夫。李强表示，近些年，中乌保持密切高层交往，双边关系不断走深走实。中方愿同乌方遵循两国元首战略引领，巩固政治互信，坚定相互支持，深化贸
光伏,-1.4,4,0,6,18,储能,【“十五五”开好局起好步】奋力谱写中国式现代化甘肃篇章 推动吉林全面振兴取得新突破,【“十五五”开好局起好步】奋力谱写中国式现代化甘肃篇章 推动吉林全面振兴取得新突破 近日，甘肃、吉林分别举行“开局起步‘十五五’”专题新闻发布会，围绕当地“十五五”规划纲要，深入解读发展目标、重点任务和实施路径。奋力谱写中国式现代化甘肃篇章
人工智能,-0.4,1,0,4,1,AI,【树立和践行正确政绩观】办好为民实事 推动学习教育走深走实,【树立和践行正确政绩观】办好为民实事 推动学习教育走深走实 当前，树立和践行正确政绩观学习教育正在深入扎实开展。四川省宜宾市、福建省厦门市深学细悟、真抓实干，切实把学习教育成果转化为指导实践、为民造福的实际行动和成效。四川宜宾建立专题研讨深
算力,4.8,6,0,0,6,数据中心,“五一”假期国内出游3.25亿人次,“五一”假期国内出游3.25亿人次 “五一”假期，全国文化和旅游市场总体平稳有序。国内出游人次与国内出游总花费实现双增长。经文化和旅游部数据中心测算，“五一”假期，全国国内出游3.25亿人次，同比增长3.6%；国内出游总花费1854.92亿
人工智能,7.3,8,0,1,2,人工智能|AI,一季度我国智能消费设备制造增长明显,一季度我国智能消费设备制造增长明显 记者从工业和信息化部获悉，今年以来，在消费品以旧换新政策加力扩围、AI技术与消费产品深度融合的双重拉动下，我国智能消费设备制造发展态势向好。数据显示，一季度，我国智能手机产量2.98亿台，同比增长6.9%
机器人,7.3,8,0,1,2,机器人|服务机器人,一季度我国智能消费设备制造增长明显,一季度我国智能消费设备制造增长明显 记者从工业和信息化部获悉，今年以来，在消费品以旧换新政策加力扩围、AI技术与消费产品深度融合的双重拉动下，我国智能消费设备制造发展态势向好。数据显示，一季度，我国智能手机产量2.98亿台，同比增长6.9%
军工,0.0,0,0,0,0,国防,魏凤和案、李尚福案一审宣判,魏凤和案、李尚福案一审宣判 2026年5月7日，军事法院依法对中央军委原委员、原国务委员兼国防部长魏凤和受贿案进行了宣判，认定魏凤和犯受贿罪，判处死刑，缓期二年执行，剥夺政治权利终身，并处没收个人全部财产，在其死刑缓期执行二年期满依法减为无
军工,-0.3,0,0,1,0,国防,美总统称对美伊达成协议表示乐观 伊朗称美国必须赔偿伊朗损失,美总统称对美伊达成协议表示乐观 伊朗称美国必须赔偿伊朗损失 美国总统特朗普6日称，美国和伊朗进行了富有成效的对话，他对美伊最终达成协议表示乐观。特朗普同时称，伊朗绝不能拥有核武器。如果无法在谈判中达成目标，美方将采取进一步的强硬措施。美国媒
低空经济,-0.3,0,0,1,0,无人机,俄外交部呼吁各国准备好及时从基辅撤离人员 乌称乌单方面停火后俄袭击未停,俄外交部呼吁各国准备好及时从基辅撤离人员 乌称乌单方面停火后俄袭击未停 俄罗斯外交部发言人扎哈罗娃6日表示，如果乌克兰方面在5月9日俄卫国战争胜利日期间实施袭击，俄武装部队势必对基辅及乌克兰决策中心进行报复性打击，俄外交部敦促各国驻基辅外交
军工,-0.3,0,0,1,0,国防,俄外交部呼吁各国准备好及时从基辅撤离人员 乌称乌单方面停火后俄袭击未停,俄外交部呼吁各国准备好及时从基辅撤离人员 乌称乌单方面停火后俄袭击未停 俄罗斯外交部发言人扎哈罗娃6日表示，如果乌克兰方面在5月9日俄卫国战争胜利日期间实施袭击，俄武装部队势必对基辅及乌克兰决策中心进行报复性打击，俄外交部敦促各国驻基辅外交
