板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
教育,-3.7,0,0,3,14,教育,赵乐际同格鲁吉亚议长会谈,赵乐际同格鲁吉亚议长会谈 全国人大常委会委员长赵乐际18日在北京人民大会堂同格鲁吉亚议长帕普阿什维利举行会谈。赵乐际表示，在习近平主席和贵国领导人战略引领下，中格建立战略伙伴关系，双边关系驶入高质量、全方位发展快车道。中方愿同格方一道，落实
电力,-10.1,1,2,19,17,电力,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
综合,-10.1,1,2,19,17,综合,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
教育,-3.5,0,0,3,13,教育,中共中央办公厅印发《中国共产党发展党员工作细则》,中共中央办公厅印发《中国共产党发展党员工作细则》 近日，中共中央办公厅印发了《中国共产党发展党员工作细则》，并发出通知，要求各地区各部门认真遵照执行。通知指出，发展党员工作是党的建设一项重要的基础性工程。各级党委及其组织部门要深入贯彻新时代
电子,0.0,0,0,0,0,电子,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
综合,0.0,0,0,0,0,综合,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
期货,0.0,0,0,0,0,期货,nan,财联社5月18日电，布伦特原油期货跌幅扩大至1%，报108.169美元/桶。
电力,0.0,0,0,0,0,电力,670亿美元创下“史上最大电力收购案” 新纪元能源吞并道明尼能源剑指AI算力电网霸主,670亿美元创下“史上最大电力收购案” 新纪元能源吞并道明尼能源剑指AI算力电网霸主 【670亿美元创下“史上最大电力收购案” 新纪元能源吞并道明尼能源剑指AI算力电网霸主】财联社5月18日电，新纪元能源(NEE.US)已同意以约670亿美
公用事业,0.0,0,0,0,0,公用事业,670亿美元创下“史上最大电力收购案” 新纪元能源吞并道明尼能源剑指AI算力电网霸主,670亿美元创下“史上最大电力收购案” 新纪元能源吞并道明尼能源剑指AI算力电网霸主 【670亿美元创下“史上最大电力收购案” 新纪元能源吞并道明尼能源剑指AI算力电网霸主】财联社5月18日电，新纪元能源(NEE.US)已同意以约670亿美
期货,0.0,0,0,0,0,期货,nan,财联社5月18日电，纳斯达克100指数期货的涨幅进一步扩大，达到0.5%。
期货,0.0,0,0,0,0,期货,nan,财联社5月18日电，WTI原油期货跌幅扩大至2%，报99.0美元/桶。
黄金,-0.7,0,0,1,2,黄金,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软 【美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大
白银,-0.7,0,0,1,2,白银,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软 【美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大
期货,-0.7,0,0,1,2,期货,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软 【美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大
通信,-0.7,0,0,1,2,通信,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软,美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大牛股光通信占三席；盖茨基金会清仓微软 【美股盘前要闻一览：马斯克称SpaceX有望今年在火箭的完全快速可复用性上取得成功；标普500今年十大
白银,0.0,0,0,0,0,白银,nan,财联社5月18日电，现货白银日内涨幅扩大至2%，报77.43美元/盎司。
半导体,-0.6,0,0,0,3,半导体,何立峰会见美国超威半导体公司董事会主席兼首席执行官苏姿丰,何立峰会见美国超威半导体公司董事会主席兼首席执行官苏姿丰 【何立峰会见美国超威半导体公司董事会主席兼首席执行官苏姿丰】财联社5月18日电，中共中央政治局委员、国务院副总理何立峰18日下午在人民大会堂会见美国超威半导体公司董事会主席兼首席执行
期货,0.0,0,0,0,0,期货,nan,财联社5月18日电，国内商品期货夜盘开盘涨跌不一，沪锡涨1.74%，沪银涨1.6%，br橡胶涨1.11%，烧碱涨0.7%，沥青跌2.36%，原油跌1.83%，焦煤跌1.39%。
焦煤,0.0,0,0,0,0,焦煤,nan,财联社5月18日电，国内商品期货夜盘开盘涨跌不一，沪锡涨1.74%，沪银涨1.6%，br橡胶涨1.11%，烧碱涨0.7%，沥青跌2.36%，原油跌1.83%，焦煤跌1.39%。
橡胶,0.0,0,0,0,0,橡胶,nan,财联社5月18日电，国内商品期货夜盘开盘涨跌不一，沪锡涨1.74%，沪银涨1.6%，br橡胶涨1.11%，烧碱涨0.7%，沥青跌2.36%，原油跌1.83%，焦煤跌1.39%。
白银,0.0,0,0,0,0,白银,nan,白银连续主力合约日内涨2%，现报19024.00元。
期货,0.0,0,0,0,0,期货,nan,【国内期货夜盘开盘】集运指数欧线期货连续涨4.17%，苹果连续跌2.90%，铂连续跌2.01%，红枣连续跌1.88%，上海原油连续跌1.86%。
银行,-0.5,0,0,1,1,银行,nan,【南京银行：注册资本增至123.64亿元】5月18日，南京银行发布公告表示，该行于2025年11月21日披露了《南京银行股份有限公司关于变更注册资本获监管机构核准的公告》，国家金融监督管理总局江苏监管局同意该行变更注册资本。近日，南京银行已
半导体,-0.6,0,0,0,3,半导体,nan,【何立峰会见美国超威半导体公司董事会主席兼首席执行官苏姿丰】中共中央政治局委员、国务院副总理何立峰18日下午在人民大会堂会见美国超威半导体公司董事会主席兼首席执行官苏姿丰。何立峰指出，上周中美两国元首在北京举行重要会晤，达成一系列重要共识。
黄金,0.0,0,0,0,0,黄金,nan,哈莫尼黄金公司：成本通胀仍得到良好管控，符合计划。
