板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
教育,-3.7,0,0,3,14,教育,赵乐际同格鲁吉亚议长会谈,赵乐际同格鲁吉亚议长会谈 全国人大常委会委员长赵乐际18日在北京人民大会堂同格鲁吉亚议长帕普阿什维利举行会谈。赵乐际表示，在习近平主席和贵国领导人战略引领下，中格建立战略伙伴关系，双边关系驶入高质量、全方位发展快车道。中方愿同格方一道，落实
电力,-10.1,1,2,19,17,电力,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
综合,-10.1,1,2,19,17,综合,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
教育,-3.5,0,0,3,13,教育,中共中央办公厅印发《中国共产党发展党员工作细则》,中共中央办公厅印发《中国共产党发展党员工作细则》 近日，中共中央办公厅印发了《中国共产党发展党员工作细则》，并发出通知，要求各地区各部门认真遵照执行。通知指出，发展党员工作是党的建设一项重要的基础性工程。各级党委及其组织部门要深入贯彻新时代
电子,0.0,0,0,0,0,电子,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
综合,0.0,0,0,0,0,综合,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
计算机,0.0,0,0,0,0,计算机,nan,财联社5月18日电，沙特阿美公司与Pasqal共同推出沙特首台量子计算机以及中东首个商用量子计算即服务平台。
白银,0.0,0,0,0,0,白银,nan,财联社5月18日电，现货白银向上触及78美元/盎司，日内上涨2.78%。
通信,-3.0,0,3,0,0,通信,美股加密货币、光通信概念股集体走弱,美股加密货币、光通信概念股集体走弱 【美股加密货币、光通信概念股集体走弱】财联社5月18日电，美股加密货币、光通信概念股集体走弱，Strategy跌超7%，BMNR跌超5%，Coinbase、Circle跌超3%；AAOI跌超9%，Lume
综合,0.0,0,0,0,0,综合,nan,财联社5月18日电，美股三大指数再次拉升，截至目前，道琼斯指数涨0.37%，标普500指数涨0.25%，纳斯达克综合指数跌0.23%。
黄金,0.0,0,0,0,0,黄金,nan,财联社5月18日电，现货黄金日内涨幅扩大至1%，报4583.66美元/盎司。
燃料电池,1.5,2,0,1,1,燃料电池,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束 ①科技行情是否结束；②AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，
电池,1.5,2,0,1,1,电池,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束 ①科技行情是否结束；②AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，
汽车,0.0,0,0,0,0,汽车,nan,财联社5月18日电，美国众议院议员提议每年征收130美元的电动汽车费用，以帮助支付道路维修费用。
铜,-0.2,0,0,0,1,铜,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货 ①光通信+PCB+机器人+液冷+铜缆+数据中心！这家公司与光模块配套使用的224G产品已批量出货且液冷产品进入英伟达等全球顶级AI算力
机器人,-0.2,0,0,0,1,机器人,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货 ①光通信+PCB+机器人+液冷+铜缆+数据中心！这家公司与光模块配套使用的224G产品已批量出货且液冷产品进入英伟达等全球顶级AI算力
通信,-0.2,0,0,0,1,通信,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货 ①光通信+PCB+机器人+液冷+铜缆+数据中心！这家公司与光模块配套使用的224G产品已批量出货且液冷产品进入英伟达等全球顶级AI算力
电池,-0.4,0,0,0,2,电池,小米汽车为第二品牌“寻天”引入新的电池供应商,小米汽车为第二品牌“寻天”引入新的电池供应商 【小米汽车为第二品牌“寻天”引入新的电池供应商】财联社5月18日电，小米汽车旗下首款增程车型，不仅将启用新品牌、搭建独立销售渠道和运营体系，还要引入全新的电池供应商。记者从多位信源处获悉，小米汽
汽车,-0.4,0,0,0,2,汽车,小米汽车为第二品牌“寻天”引入新的电池供应商,小米汽车为第二品牌“寻天”引入新的电池供应商 【小米汽车为第二品牌“寻天”引入新的电池供应商】财联社5月18日电，小米汽车旗下首款增程车型，不仅将启用新品牌、搭建独立销售渠道和运营体系，还要引入全新的电池供应商。记者从多位信源处获悉，小米汽
机器人,-2.3,0,1,1,5,机器人,云深处2025年净利润2868万元 本次IPO拟融资25.03亿元,云深处2025年净利润2868万元 本次IPO拟融资25.03亿元 【云深处2025年净利润2868万元 本次IPO拟融资25.03亿元】财联社5月18日电，杭州云深处科技股份有限公司科创板首次公开发行股票招股说明书显示，公司2025年度营
