板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
人工智能,3.7,14,0,5,44,人工智能,【新思想引领新征程】服务业扩能提质 锻造经济增长新引擎,【新思想引领新征程】服务业扩能提质 锻造经济增长新引擎 习近平总书记强调，要突出需求牵引、改革攻坚、科技赋能、开放合作，努力开创服务业高质量发展新局面。党的十八大以来，以习近平同志为核心的党中央高度重视服务业发展，推出一系列改革举措，推动服
数字经济,3.7,14,0,5,44,工业互联网,【新思想引领新征程】服务业扩能提质 锻造经济增长新引擎,【新思想引领新征程】服务业扩能提质 锻造经济增长新引擎 习近平总书记强调，要突出需求牵引、改革攻坚、科技赋能、开放合作，努力开创服务业高质量发展新局面。党的十八大以来，以习近平同志为核心的党中央高度重视服务业发展，推出一系列改革举措，推动服
人工智能,-1.1,1,0,1,9,人工智能,李强同阿联酋阿布扎比王储会谈,李强同阿联酋阿布扎比王储会谈 4月13日下午，国务院总理李强在北京人民大会堂同阿联酋阿布扎比王储哈立德举行会谈。李强表示，近年来，在习近平主席和穆罕默德总统战略引领下，中阿两国关系持续深化发展，各领域合作成果丰硕，为两国人民带来了实实在在的
光伏,-1.1,1,0,1,9,储能,李强同阿联酋阿布扎比王储会谈,李强同阿联酋阿布扎比王储会谈 4月13日下午，国务院总理李强在北京人民大会堂同阿联酋阿布扎比王储哈立德举行会谈。李强表示，近年来，在习近平主席和穆罕默德总统战略引领下，中阿两国关系持续深化发展，各领域合作成果丰硕，为两国人民带来了实实在在的
数字经济,-1.1,1,0,1,9,数字经济,李强同阿联酋阿布扎比王储会谈,李强同阿联酋阿布扎比王储会谈 4月13日下午，国务院总理李强在北京人民大会堂同阿联酋阿布扎比王储哈立德举行会谈。李强表示，近年来，在习近平主席和穆罕默德总统战略引领下，中阿两国关系持续深化发展，各领域合作成果丰硕，为两国人民带来了实实在在的
数字经济,-1.1,4,0,5,18,数字经济,【“十五五”开好局起好步】高标准建设海南自由贸易港 绘就三湘大地高质量发展新图景,【“十五五”开好局起好步】高标准建设海南自由贸易港 绘就三湘大地高质量发展新图景 近日，海南省、湖南省分别举行“开局起步‘十五五’”专题新闻发布会，围绕当地“十五五”规划纲要，全面解读《纲要》编制背景、总体思路、发展目标和重点任务。高标准建
人工智能,1.0,2,0,2,2,AI,国内联播快讯,国内联播快讯 中央网信办发布11项网络直播打赏规定中央网信办今天（4月13日）发布“关于加强网络直播打赏规范管理的通知”，对网站平台的规则制定、权限开通、举报受理等作出11项明确规定，其中要求不得公开展示用户充值打赏等消费统计数据，不得向八
机器人,1.0,2,0,2,2,机器人,国内联播快讯,国内联播快讯 中央网信办发布11项网络直播打赏规定中央网信办今天（4月13日）发布“关于加强网络直播打赏规范管理的通知”，对网站平台的规则制定、权限开通、举报受理等作出11项明确规定，其中要求不得公开展示用户充值打赏等消费统计数据，不得向八
低空经济,-0.5,0,0,1,1,无人机,美称将封锁伊朗海上交通 伊朗称美海上封锁“注定失败”,美称将封锁伊朗海上交通 伊朗称美海上封锁“注定失败” 美国和伊朗谈判12日无果而终。美国总统特朗普当天称，双方没有就关键的核问题达成一致，因此美国将立即开始封锁霍尔木兹海峡，并调集更多扫雷艇前往这一地区。美国中央司令部称，将根据总统命令从美
军工,-0.5,0,0,1,1,导弹,美称将封锁伊朗海上交通 伊朗称美海上封锁“注定失败”,美称将封锁伊朗海上交通 伊朗称美海上封锁“注定失败” 美国和伊朗谈判12日无果而终。美国总统特朗普当天称，双方没有就关键的核问题达成一致，因此美国将立即开始封锁霍尔木兹海峡，并调集更多扫雷艇前往这一地区。美国中央司令部称，将根据总统命令从美
军工,0.0,0,0,0,0,国防,黎巴嫩称以军袭击已致2055人死亡 以军冲撞联黎部队车辆,黎巴嫩称以军袭击已致2055人死亡 以军冲撞联黎部队车辆 以色列国防军12日称，继续在黎巴嫩南部打击黎真主党武装目标。黎巴嫩真主党12日晚称，使用火箭弹打击以色列北部军事目标。据黎巴嫩公共卫生部12日公布的数据，以军袭击累计已经导致黎巴嫩2
