板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
医药医疗,-3.1,4,0,5,28,医药,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】陕西加快推动科技成果高效转化应用 安徽以科技创新引领未来产业加速发展,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】陕西加快推动科技成果高效转化应用 安徽以科技创新引领未来产业加速发展 “十五五”规划纲要提出，培育更多支柱性先导性产业，构筑产业发展新优势。陕西、安徽充分发挥科教资源和产业基础等优势，强化源
跨境出海,0.6,2,0,2,4,一带一路,新设内蒙古自贸试验区 推出19项改革创新举措,新设内蒙古自贸试验区 推出19项改革创新举措 国务院新闻办公室今天（4月10日）举行政策例行吹风会，商务部和内蒙古自治区有关负责人介绍，设立内蒙古自贸试验区，是深入实施自贸试验区提升战略的重要部署，也是新时期扩大高水平对外开放的重要举措。商
低空经济,1.0,2,0,2,2,无人机,【在希望的田野上】全国春耕生产大面积展开,【在希望的田野上】全国春耕生产大面积展开 眼下，全国春耕生产已经大面积展开。各地推广应用新装备、新技术，力促春耕春管提质增效，夯实粮食生产基础。目前，黄淮海主产区冬小麦进入拔节孕穗期。随着各项关键技术措施落实到田，冬小麦苗情长势和生育进程已
人工智能,-5.9,1,0,9,21,人工智能,国内联播快讯,国内联播快讯 《互联网平台价格行为规则》今日起正式施行《互联网平台价格行为规则》（以下简称《规则》）今起（4月10日）正式施行。《规则》进一步压实平台企业的主体责任，规范平台及平台内经营者自主定价、价格标示、价格竞争等行为，细化了数据隐私和
半导体,-5.9,1,0,9,21,半导体|芯片,国内联播快讯,国内联播快讯 《互联网平台价格行为规则》今日起正式施行《互联网平台价格行为规则》（以下简称《规则》）今起（4月10日）正式施行。《规则》进一步压实平台企业的主体责任，规范平台及平台内经营者自主定价、价格标示、价格竞争等行为，细化了数据隐私和
低空经济,-5.9,1,0,9,21,无人机|通航,国内联播快讯,国内联播快讯 《互联网平台价格行为规则》今日起正式施行《互联网平台价格行为规则》（以下简称《规则》）今起（4月10日）正式施行。《规则》进一步压实平台企业的主体责任，规范平台及平台内经营者自主定价、价格标示、价格竞争等行为，细化了数据隐私和
医药医疗,-5.9,1,0,9,21,医药,国内联播快讯,国内联播快讯 《互联网平台价格行为规则》今日起正式施行《互联网平台价格行为规则》（以下简称《规则》）今起（4月10日）正式施行。《规则》进一步压实平台企业的主体责任，规范平台及平台内经营者自主定价、价格标示、价格竞争等行为，细化了数据隐私和
跨境出海,-5.9,1,0,9,21,跨境电商,国内联播快讯,国内联播快讯 《互联网平台价格行为规则》今日起正式施行《互联网平台价格行为规则》（以下简称《规则》）今起（4月10日）正式施行。《规则》进一步压实平台企业的主体责任，规范平台及平台内经营者自主定价、价格标示、价格竞争等行为，细化了数据隐私和
低空经济,-0.8,0,0,2,1,通航,世卫组织称美以军事打击致伊朗近2400人死亡,世卫组织称美以军事打击致伊朗近2400人死亡 世界卫生组织9日发布的数据显示，自2月28日以来，美国和以色列对伊朗的大规模军事打击已导致伊朗近2400人死亡、超过3.2万人受伤，另有320万人流离失所。伊朗伊斯兰革命卫队公共关系部门当地时间
低空经济,0.0,0,0,0,0,无人机,以军称对黎真主党发动新一轮空袭 黎称与以军地面部队战斗,以军称对黎真主党发动新一轮空袭 黎称与以军地面部队战斗 以色列国防军9日晚称，对黎巴嫩真主党的火箭弹发射阵地发动新一轮空袭。以方还称，在8日的对黎大规模空袭中打死了200多名黎真主党人员，包括真主党领导人卡西姆的秘书哈尔希。黎巴嫩卫生部数据
军工,0.0,0,0,0,0,国防,以军称对黎真主党发动新一轮空袭 黎称与以军地面部队战斗,以军称对黎真主党发动新一轮空袭 黎称与以军地面部队战斗 以色列国防军9日晚称，对黎巴嫩真主党的火箭弹发射阵地发动新一轮空袭。以方还称，在8日的对黎大规模空袭中打死了200多名黎真主党人员，包括真主党领导人卡西姆的秘书哈尔希。黎巴嫩卫生部数据
军工,-0.3,0,0,1,0,国防,国际联播快讯,国际联播快讯 俄称将停火32小时 乌称对等停火俄罗斯克里姆林宫9日发布声明称，俄总统普京决定，俄方从当地时间11日16时至12日24时停火，希望乌克兰跟进。乌克兰总统泽连斯基今天（4月10日）发文称，乌方将采取对等停火。此外，9日，俄乌双方
