板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
低空经济,-0.7,7,0,13,19,通航,【新思想引领新征程】我国加快完善现代化综合立体交通网,【新思想引领新征程】我国加快完善现代化综合立体交通网 习近平总书记指出，建设安全、便捷、高效、绿色、经济、包容、韧性的可持续交通体系，是支撑服务经济社会高质量发展、实现“人享其行、物畅其流”美好愿景的重要举措。“十五五”开局之年，我国正加快
人工智能,-2.2,3,0,2,23,人工智能|大模型,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴 “十五五”规划纲要提出，加快高水平科技自立自强，引领发展新质生产力。天津、黑龙江深化拓展“人工智能+”，积极搭平
算力,-2.2,3,0,2,23,智算,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴 “十五五”规划纲要提出，加快高水平科技自立自强，引领发展新质生产力。天津、黑龙江深化拓展“人工智能+”，积极搭平
半导体,-2.2,3,0,2,23,芯片,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴 “十五五”规划纲要提出，加快高水平科技自立自强，引领发展新质生产力。天津、黑龙江深化拓展“人工智能+”，积极搭平
机器人,-2.2,3,0,2,23,机器人,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴,【凝心聚力 真抓实干 奋力实现“十五五”良好开局】天津强化资源协同 推动新质生产力高质量发展 黑龙江以科技创新引领产业全面振兴 “十五五”规划纲要提出，加快高水平科技自立自强，引领发展新质生产力。天津、黑龙江深化拓展“人工智能+”，积极搭平
人工智能,-2.1,4,1,3,21,人工智能,国内联播快讯,国内联播快讯 25个县入选2026年传统村落特色保护区建设工作支持县住房城乡建设部、财政部日前公示，将河北省邯郸市涉县、浙江省杭州市桐庐县等25个县（市、区）纳入2026年传统村落特色保护区建设工作支持范围，推动当地基础设施完善，加强传统建
军工,-2.1,4,1,3,21,国防,国内联播快讯,国内联播快讯 25个县入选2026年传统村落特色保护区建设工作支持县住房城乡建设部、财政部日前公示，将河北省邯郸市涉县、浙江省杭州市桐庐县等25个县（市、区）纳入2026年传统村落特色保护区建设工作支持范围，推动当地基础设施完善，加强传统建
人工智能,-2.4,0,0,4,6,人工智能,2026年APEC工商咨询理事会第二次会议举行,2026年APEC工商咨询理事会第二次会议举行 2026年亚太经合组织（APEC）工商咨询理事会第二次会议22日到25日在墨西哥首都墨西哥城举行。此次会议吸引来自21个APEC经济体的高官、工商咨询理事会代表和候任代表、专家等200余人参加
低空经济,-0.4,0,0,0,2,无人机,国际联播快讯,国际联播快讯 以总理下令猛烈打击黎真主党目标黎巴嫩卫生部25日说，以色列军方当天对黎南部多地的袭击造成6人死亡、17人受伤。以色列国防军25日称，以军当天继续打击了黎南部真主党基础设施等目标。以总理办公室当晚称，总理内塔尼亚胡已下令“猛烈打
军工,-0.4,0,0,0,2,国防,国际联播快讯,国际联播快讯 以总理下令猛烈打击黎真主党目标黎巴嫩卫生部25日说，以色列军方当天对黎南部多地的袭击造成6人死亡、17人受伤。以色列国防军25日称，以军当天继续打击了黎南部真主党基础设施等目标。以总理办公室当晚称，总理内塔尼亚胡已下令“猛烈打
