板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
人工智能,-1.5,10,1,7,42,人工智能|大模型,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系 习近平总书记指出，要着眼发展新质生产力，强化科技创新和产业创新深度融合，建设具有国际竞争力的现代化产业体系。“十五五”开局之年，各地各行业向新而行，促进创新成果与制造
机器人,-1.5,10,1,7,42,机器人,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系 习近平总书记指出，要着眼发展新质生产力，强化科技创新和产业创新深度融合，建设具有国际竞争力的现代化产业体系。“十五五”开局之年，各地各行业向新而行，促进创新成果与制造
数字经济,-1.5,10,1,7,42,工业互联网,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系 习近平总书记指出，要着眼发展新质生产力，强化科技创新和产业创新深度融合，建设具有国际竞争力的现代化产业体系。“十五五”开局之年，各地各行业向新而行，促进创新成果与制造
国企改革,-1.5,10,1,7,42,央企,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系,【新思想引领新征程】以科技创新和产业创新深度融合 推动建设现代化产业体系 习近平总书记指出，要着眼发展新质生产力，强化科技创新和产业创新深度融合，建设具有国际竞争力的现代化产业体系。“十五五”开局之年，各地各行业向新而行，促进创新成果与制造
人工智能,5.0,6,0,0,5,人工智能|AI|大模型,【“十五五”新图景】向农机装备空白处挺进,【“十五五”新图景】向农机装备空白处挺进 “十五五”规划纲要提出，强化农业科技和装备支撑。当前，我国农机装备正加速向空白处挺进，打开农业发展新空间。这家无人机企业大楼里，今年的新机型正加紧测试。风洞验证稳定飞行能力，计算机升级模型思考能力，
低空经济,5.0,6,0,0,5,无人机,【“十五五”新图景】向农机装备空白处挺进,【“十五五”新图景】向农机装备空白处挺进 “十五五”规划纲要提出，强化农业科技和装备支撑。当前，我国农机装备正加速向空白处挺进，打开农业发展新空间。这家无人机企业大楼里，今年的新机型正加紧测试。风洞验证稳定飞行能力，计算机升级模型思考能力，
低空经济,-1.0,0,0,0,5,无人机,美以称打击伊武器制造基地 伊朗称打击美军雷达和以军工企业,美以称打击伊武器制造基地 伊朗称打击美军雷达和以军工企业 今天（4月2日），美国和以色列对伊朗的军事行动进入第34天。伊朗红新月会1日表示，伊朗共有超过11.5万处民用设施受到损坏或被毁。美国中央司令部和以色列国防军1日称，打击了伊朗指挥和
军工,-1.0,0,0,0,5,军工|国防|导弹,美以称打击伊武器制造基地 伊朗称打击美军雷达和以军工企业,美以称打击伊武器制造基地 伊朗称打击美军雷达和以军工企业 今天（4月2日），美国和以色列对伊朗的军事行动进入第34天。伊朗红新月会1日表示，伊朗共有超过11.5万处民用设施受到损坏或被毁。美国中央司令部和以色列国防军1日称，打击了伊朗指挥和
低空经济,-0.7,0,0,1,2,无人机,国际联播快讯,国际联播快讯 黎巴嫩称以色列近期袭击已致1318人死亡以色列国防军今天（4月2日）称，过去一天，以军在黎巴嫩境内打死了40多名黎真主党武装人员，并对数十个真主党的军事据点进行了打击。以军1日还称打死了黎真主党南方阵线指挥官哈吉·哈希姆。黎巴
军工,-0.7,0,0,1,2,国防|导弹,国际联播快讯,国际联播快讯 黎巴嫩称以色列近期袭击已致1318人死亡以色列国防军今天（4月2日）称，过去一天，以军在黎巴嫩境内打死了40多名黎真主党武装人员，并对数十个真主党的军事据点进行了打击。以军1日还称打死了黎真主党南方阵线指挥官哈吉·哈希姆。黎巴
