板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
人工智能,-14.7,0,2,23,29,人工智能,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议 中共中央政治局4月28日召开会议，分析研究当前经济形势和经济工作。中共中央总书记习近平主持会议。会议认为，今年以来，以习近平同志为核心的党中央加强对经济工
算力,-14.7,0,2,23,29,算力,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议 中共中央政治局4月28日召开会议，分析研究当前经济形势和经济工作。中共中央总书记习近平主持会议。会议认为，今年以来，以习近平同志为核心的党中央加强对经济工
国企改革,-14.7,0,2,23,29,国企改革,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议 中共中央政治局4月28日召开会议，分析研究当前经济形势和经济工作。中共中央总书记习近平主持会议。会议认为，今年以来，以习近平同志为核心的党中央加强对经济工
自主可控,-14.7,0,2,23,29,自主可控,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议,中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议 中共中央政治局4月28日召开会议，分析研究当前经济形势和经济工作。中共中央总书记习近平主持会议。会议认为，今年以来，以习近平同志为核心的党中央加强对经济工
跨境出海,-6.2,0,0,6,22,一带一路,《习近平谈治国理政》第五卷英文版中印尼推介会在雅加达举行,《习近平谈治国理政》第五卷英文版中印尼推介会在雅加达举行 《习近平谈治国理政》第五卷英文版中印尼推介会28日在印度尼西亚雅加达举行。与会嘉宾认为，《习近平谈治国理政》第五卷全面系统反映了习近平新时代中国特色社会主义思想的最新发展成果，是国际
低空经济,0.3,1,0,1,2,通航,跨平陆运河27座桥梁全部建成,跨平陆运河27座桥梁全部建成 今天（4月28日）上午，平陆运河配套工程——子材大桥通车，标志着跨平陆运河27座桥梁全部建成。平陆运河将于今年9月建成通航。平陆运河子材大桥横跨广西钦州城区主航道，主跨达270米，通航净高提升至19.3米，可满
人工智能,-1.2,1,0,4,5,人工智能,“十五五”时期 推进我国气象服务达到世界领先水平,“十五五”时期 推进我国气象服务达到世界领先水平 今天（4月28日），国务院新闻办公室举行“开局起步‘十五五’”系列主题新闻发布会，中国气象局有关负责人介绍加快推进气象高质量发展、高质效服务国家服务人民、保障经济社会发展有关情况。中国气象局
人工智能,-1.9,0,0,1,8,人工智能,教育部增设38种普通高校本科新专业,教育部增设38种普通高校本科新专业 教育部今天（4月28日）发布《普通高等学校本科专业目录（2026年）》，共新增38种普通高校本科新专业。此次增设的38种普通高校本科新专业中，精准对接国家战略需求，增设了能源科学与工程、深地科学与工程等专
机器人,-1.9,0,0,1,8,机器人,教育部增设38种普通高校本科新专业,教育部增设38种普通高校本科新专业 教育部今天（4月28日）发布《普通高等学校本科专业目录（2026年）》，共新增38种普通高校本科新专业。此次增设的38种普通高校本科新专业中，精准对接国家战略需求，增设了能源科学与工程、深地科学与工程等专
新能源车,2.5,3,0,1,1,新能源车,公众出行需求旺盛 “五一”假期跨区域人员流动量有望再创新高,公众出行需求旺盛 “五一”假期跨区域人员流动量有望再创新高 今天（4月28日），交通运输部举行新闻发布会，“五一”假期预计全社会跨区域人员流动量将创历史同期新高。交通运输部预测，“五一”假期全社会跨区域人员流动量将达15.2亿人次，日均3.
